"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"PinHeader_1x24_P2.00mm_Vertical";1;"PinHeader_1x24_P2.00mm_Vertical";;;
2;"REF**";"TE_2-84952-4_1x24-1MP_P1.0mm_Horizontal";1;"TE_2-84952-4_1x24-1MP_P1.0mm_Horizontal";;;
